eps_pi,eps_y,pi,y,Epi_lead,y_lag,path_number
0,0,-0.3,-3.5,0,NaN,1
0,0,-0.131578947,-3.299760766,0,-3.5,1
0,0,0.035167464,-3.08926583,0,-3.299760766,1
0,0,0.199611322,-2.869468494,0,-3.08926583,1
0,0,0.361141838,-2.641345922,0,-2.869468494,1
0,0,0.51916751,-2.405895022,0,-2.641345922,1
0,0,0.673118169,-2.164128309,0,-2.405895022,1
0,0,0.822446931,-1.917069755,0,-2.164128309,1
0,0,0.96663202,-1.665750651,0,-1.917069755,1
0,0,1.105178477,-1.430670341,0,-1.665750651,1
0,0,1.238644204,-1.216744343,0,-1.430670341,1
0,0,1.36787518,-1.022447707,0,-1.216744343,1
0,0,1.493681648,-0.846390009,0,-1.022447707,1
0,0,1.616843314,-0.687305468,0,-0.846390009,1
0,0,1.738114302,-0.544043941,0,-0.687305468,1
0,0,1.858227894,-0.41556269,0,-0.544043941,1
0,0,1.977901083,-0.3009189,0,-0.41556269,1
0,0,2.097838977,-0.199262866,0,-0.3009189,1
0,0,2.218739074,-0.109831824,0,-0.199262866,1
0,0,2.341295437,-0.031944359,0,-0.109831824,1
0,0,2.466202794,0.035004634,0,-0.031944359,1
0,0,2.594160592,0.091548472,0,0.035004634,1
0,0,2.72587702,0.138152739,0,0.091548472,1
0,0,2.862073034,0.175218881,0,0.138152739,1
0,0,3.003486411,0.203087392,0,0.175218881,1
0,0,3.150875833,0.222040589,0,0.203087392,1
0,0,3.305025056,0.23230502,0,0.222040589,1
0,0,3.466747163,0.234053514,0,0.23230502,1
0,0,3.636888934,0.227406886,0,0.234053514,1
0,0,3.816335358,0.212435319,0,0.227406886,1
0,0,4.006014307,0.189159434,0,0.212435319,1
0,0,4.206901406,0.15755105,0,0.189159434,1
0,0,4.420025109,0.117533658,0,0.15755105,1
0,0,4.646472027,0.068982597,0,0.117533658,1
0,0,4.887392524,0.011724955,0,0.068982597,1
0,0,5.144006606,-0.054460818,0,0.011724955,1
0,0,5.417610155,-0.129845574,0,-0.054460818,1
0,0,5.709581509,-0.214750404,0,-0.129845574,1
0,0,6.021388452,-0.309547868,0,-0.214750404,1
0,0,6.354595627,-0.414663502,0,-0.309547868,1
0,0,6.710872423,-0.530577616,0,-0.414663502,1
